"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 14 14:10:46 IST 2023","Tue Nov 14 14:10:55 IST 2023","8575","Default Suite","GoRest_CRUD_FrameworK","gorest.co.in.IntegratioN.Gorest","gorest.co.in.IntegratioN.Gorest","createuser","createuser",""
"passed","Tue Nov 14 14:10:56 IST 2023","Tue Nov 14 14:10:57 IST 2023","899","Default Suite","GoRest_CRUD_FrameworK","gorest.co.in.IntegratioN.Gorest","gorest.co.in.IntegratioN.Gorest","getuser","getuser",""
"passed","Tue Nov 14 14:10:55 IST 2023","Tue Nov 14 14:10:56 IST 2023","1172","Default Suite","GoRest_CRUD_FrameworK","gorest.co.in.IntegratioN.Gorest","gorest.co.in.IntegratioN.Gorest","updateuser","updateuser",""
"passed","Tue Nov 14 14:10:57 IST 2023","Tue Nov 14 14:10:58 IST 2023","1119","Default Suite","GoRest_CRUD_FrameworK","gorest.co.in.IntegratioN.Gorest","gorest.co.in.IntegratioN.Gorest","deleteuser","deleteuser",""
"passed","Tue Nov 14 14:10:58 IST 2023","Tue Nov 14 14:10:58 IST 2023","642","Default Suite","GoRest_CRUD_FrameworK","gorest.co.in.IntegratioN.Gorest","gorest.co.in.IntegratioN.Gorest","deleteuserConfirmation","deleteuserConfirmation",""
